GH,GA,scorer,time,scoring,game,season
1,2,Jostein Flo,56,Lierse SK,KV Kortrijk vs. Lierse SK 1:2,1990-1991
1,0,Guy Winkels,24,KAA Gent,KAA Gent vs. Club Brugge KV 1:1,1990-1991
1,1,Jan Ceulemans,33,Club Brugge KV,KAA Gent vs. Club Brugge KV 1:1,1990-1991
1,0,Branko Karačić,52,Cercle Brugge,Cercle Brugge vs. KSV Waregem 3:0,1990-1991
2,0,Josip Weber,76,Cercle Brugge,Cercle Brugge vs. KSV Waregem 3:0,1990-1991
3,0,Peter Carly,88,Cercle Brugge,Cercle Brugge vs. KSV Waregem 3:0,1990-1991
1,0,Nico Claesen,11,Royal Antwerp FC,Royal Antwerp FC vs. K. Beerschot VAV 3:0,1990-1991
2,0,Frans Van Rooij,57,Royal Antwerp FC,Royal Antwerp FC vs. K. Beerschot VAV 3:0,1990-1991
3,0,Nico Claesen,85,Royal Antwerp FC,Royal Antwerp FC vs. K. Beerschot VAV 3:0,1990-1991
0,1,Nebojsa Malbasa,10,RFC de Liège,Standard Liège vs. RFC de Liège 2:2,1990-1991
1,1,Henk Vos,36,Standard Liège,Standard Liège vs. RFC de Liège 2:2,1990-1991
2,1,Patrick Asselman,75,Standard Liège,Standard Liège vs. RFC de Liège 2:2,1990-1991
2,2,Luc Ernes,81,RFC de Liège,Standard Liège vs. RFC de Liège 2:2,1990-1991
1,0,Patrick Thairet,15,RWD Molenbeek,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
1,1,Josip Weber,18,Cercle Brugge,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
1,2,Josip Weber,29,Cercle Brugge,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
2,2,Sébastien Demeersman,35,RWD Molenbeek,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
2,3,Branko Karačić,40,Cercle Brugge,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
3,3,Willy Wellens,46,RWD Molenbeek,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
4,3,Willy Wellens,51,RWD Molenbeek,RWD Molenbeek vs. Cercle Brugge 4:3,1990-1991
NA,NA,NA,NA,NA,KV Mechelen vs. Sporting Lokeren 0:0,1990-1991
0,1,Luis Oliveira,2,RSC Anderlecht,Lierse SK vs. RSC Anderlecht 0:4,1990-1991
0,2,Luc Nilis,17,RSC Anderlecht,Lierse SK vs. RSC Anderlecht 0:4,1990-1991
0,3,Willem Kooiman,28,RSC Anderlecht,Lierse SK vs. RSC Anderlecht 0:4,1990-1991
0,4,Luc Nilis,75,RSC Anderlecht,Lierse SK vs. RSC Anderlecht 0:4,1990-1991
0,1,Simon Tahamata,29,KFC Germinal Ekeren,KRC Genk vs. KFC Germinal Ekeren 1:1,1990-1991
1,1,Frane Bućan,38,KRC Genk,KRC Genk vs. KFC Germinal Ekeren 1:1,1990-1991
0,1,Erwin Vandenbergh,23,KAA Gent,RSC Charleroi vs. KAA Gent 2:2,1990-1991
1,1,Michel Rasquin,52,RSC Charleroi,RSC Charleroi vs. KAA Gent 2:2,1990-1991
1,2,Rudy Janssens,67,KAA Gent,RSC Charleroi vs. KAA Gent 2:2,1990-1991
2,2,Osvaldo Hurtado,70,RSC Charleroi,RSC Charleroi vs. KAA Gent 2:2,1990-1991
1,0,Foeke Booy,9,Club Brugge KV,Club Brugge KV vs. KV Kortrijk 1:1,1990-1991
1,1,Hendrie Krüzen,76,KV Kortrijk,Club Brugge KV vs. KV Kortrijk 1:1,1990-1991
1,0,Mark Talbut,7,K. Beerschot VAV,K. Beerschot VAV vs. Sint-Truidense VV 4:0,1990-1991
2,0,Prince Polley,31,K. Beerschot VAV,K. Beerschot VAV vs. Sint-Truidense VV 4:0,1990-1991
3,0,Bachir Makhi,33,K. Beerschot VAV,K. Beerschot VAV vs. Sint-Truidense VV 4:0,1990-1991
4,0,Prince Polley,37,K. Beerschot VAV,K. Beerschot VAV vs. Sint-Truidense VV 4:0,1990-1991
0,1,Nico Claesen,33,Royal Antwerp FC,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
0,2,Mohammed Lashaf,48,Royal Antwerp FC,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
1,2,Richard Niederbacher,64,KSV Waregem,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
1,3,Frans Van Rooij,86,Royal Antwerp FC,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
1,4,Nico Claesen,89,Royal Antwerp FC,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
1,5,Ronny Van Geneugden,90,Royal Antwerp FC,KSV Waregem vs. Royal Antwerp FC 1:5,1990-1991
1,0,Christopher N'Wosu,5,Sint-Truidense VV,Sint-Truidense VV vs. KSV Waregem 3:1,1990-1991
1,1,Patrick Teppers,19,KSV Waregem,Sint-Truidense VV vs. KSV Waregem 3:1,1990-1991
2,1,Harry Cnops,39,Sint-Truidense VV,Sint-Truidense VV vs. KSV Waregem 3:1,1990-1991
3,1,Johan Moors,74,Sint-Truidense VV,Sint-Truidense VV vs. KSV Waregem 3:1,1990-1991
1,0,Nebojsa Malbasa,82,RFC de Liège,RFC de Liège vs. K. Beerschot VAV 2:0,1990-1991
2,0,Nebojsa Malbasa,88,RFC de Liège,RFC de Liège vs. K. Beerschot VAV 2:0,1990-1991
1,0,Eric Viscaal,42,KAA Gent,KAA Gent vs. Standard Liège 1:1,1990-1991
1,1,Guy Vandersmissen,51,Standard Liège,KAA Gent vs. Standard Liège 1:1,1990-1991
1,0,Mohammed Lashaf,52,Royal Antwerp FC,Royal Antwerp FC vs. RWD Molenbeek 1:1,1990-1991
1,1,Emil Lörincz,85,RWD Molenbeek,Royal Antwerp FC vs. RWD Molenbeek 1:1,1990-1991
1,0,Luc Nilis,5,RSC Anderlecht,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
2,0,Luis Oliveira,6,RSC Anderlecht,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
2,1,Jan Ceulemans,59,Club Brugge KV,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
3,1,Luis Oliveira,61,RSC Anderlecht,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
4,1,Luc Nilis,69,RSC Anderlecht,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
5,1,Luc Nilis,89,RSC Anderlecht,RSC Anderlecht vs. Club Brugge KV 5:1,1990-1991
1,0,Marko Myyry,10,Sporting Lokeren,Sporting Lokeren vs. KRC Genk 4:2,1990-1991
