GH,GA,scorer,time,scoring,game,season
2,0,Vicente,26,GD Chaves,GD Chaves vs. FC Famalicão 3:1,1990-1991
3,0,Tihomir Rudež,32,GD Chaves,GD Chaves vs. FC Famalicão 3:1,1990-1991
3,1,Tanta,75,FC Famalicão,GD Chaves vs. FC Famalicão 3:1,1990-1991
1,0,Rui Águas,11,SL Benfica,SL Benfica vs. Estrela Amadora 4:0,1990-1991
2,0,Pacheco,47,SL Benfica,SL Benfica vs. Estrela Amadora 4:0,1990-1991
3,0,Valdo,75,SL Benfica,SL Benfica vs. Estrela Amadora 4:0,1990-1991
4,0,Rui Águas,87,SL Benfica,SL Benfica vs. Estrela Amadora 4:0,1990-1991
1,0,Magdy Abdel Ghani,41,SC Beira-Mar,SC Beira-Mar vs. Boavista 2:0,1990-1991
2,0,Nikola Spasov,80,SC Beira-Mar,SC Beira-Mar vs. Boavista 2:0,1990-1991
0,1,Fernando Couto,36,FC Porto,Vitória Setúbal vs. FC Porto 0:2,1990-1991
0,2,José Semedo,85,FC Porto,Vitória Setúbal vs. FC Porto 0:2,1990-1991
0,1,Ricardo Gomes,13,SL Benfica,União da Madeira vs. SL Benfica 0:2,1990-1991
0,2,Stefan Schwarz,15,SL Benfica,União da Madeira vs. SL Benfica 0:2,1990-1991
NA,NA,NA,NA,NA,SC Salgueiros vs. Vitória Guimarães 0:0,1990-1991
1,0,Roldão,7,FC Penafiel,FC Penafiel vs. SC Farense 4:1,1990-1991
2,0,Nogueira,46,FC Penafiel,FC Penafiel vs. SC Farense 4:1,1990-1991
3,0,Moreira de Sá,50,FC Penafiel,FC Penafiel vs. SC Farense 4:1,1990-1991
4,0,Reinaldo Silva,77,FC Penafiel,FC Penafiel vs. SC Farense 4:1,1990-1991
4,1,Miroslav Ćurčić,78,SC Farense,FC Penafiel vs. SC Farense 4:1,1990-1991
0,1,Douglas,59,Sporting CP,CD Nacional vs. Sporting CP 0:2,1990-1991
0,2,Leal,75,Sporting CP,CD Nacional vs. Sporting CP 0:2,1990-1991
1,0,Djamel Menad,19,FC Famalicão,FC Famalicão vs. FC Tirsense 2:1,1990-1991
1,1,Lay,69,FC Tirsense,FC Famalicão vs. FC Tirsense 2:1,1990-1991
2,1,Lula,90,FC Famalicão,FC Famalicão vs. FC Tirsense 2:1,1990-1991
0,1,Esquerdinha,61,CS Marítimo,Estrela Amadora vs. CS Marítimo 0:2,1990-1991
0,2,Peter Hinds,87,CS Marítimo,Estrela Amadora vs. CS Marítimo 0:2,1990-1991
1,0,Augusto Gama,6,Sporting Braga,Sporting Braga vs. GD Chaves 1:1,1990-1991
1,1,Coelho,70,GD Chaves,Sporting Braga vs. GD Chaves 1:1,1990-1991
1,0,Bobó,56,Boavista,Boavista vs. Gil Vicente 2:1,1990-1991
1,1,Rui Filipe,61,Gil Vicente,Boavista vs. Gil Vicente 2:1,1990-1991
2,1,Jorge Andrade,78,Boavista,Boavista vs. Gil Vicente 2:1,1990-1991
0,1,Nikola Spasov,25,SC Beira-Mar,Os Belenenses vs. SC Beira-Mar 2:2,1990-1991
1,1,Chiquinho Conde,61,Os Belenenses,Os Belenenses vs. SC Beira-Mar 2:2,1990-1991
2,1,Raudnei,68,Os Belenenses,Os Belenenses vs. SC Beira-Mar 2:2,1990-1991
2,2,Nikola Spasov,84,SC Beira-Mar,Os Belenenses vs. SC Beira-Mar 2:2,1990-1991
1,0,Peter Hinds,45,CS Marítimo,CS Marítimo vs. União da Madeira 2:1,1990-1991
2,0,Carlos Jorge,46,CS Marítimo,CS Marítimo vs. União da Madeira 2:1,1990-1991
2,1,Dragan Markovic,60,União da Madeira,CS Marítimo vs. União da Madeira 2:1,1990-1991
0,1,Jaime Alves,51,Boavista,Vitória Guimarães vs. Boavista 0:1,1990-1991
1,0,Jorge,54,FC Tirsense,FC Tirsense vs. Sporting Braga 1:0,1990-1991
1,0,Oceano,25,Sporting CP,Sporting CP vs. Vitória Setúbal 1:0,1990-1991
1,0,Stéphane Paille,10,FC Porto,FC Porto vs. FC Famalicão 2:0,1990-1991
2,0,Geraldão,53,FC Porto,FC Porto vs. FC Famalicão 2:0,1990-1991
1,0,Roldão,51,FC Penafiel,FC Penafiel vs. SC Salgueiros 1:0,1990-1991
1,0,Makpoloka Mangonga,7,Gil Vicente,Gil Vicente vs. Os Belenenses 2:1,1990-1991
1,1,Jaime Mercés,41,Os Belenenses,Gil Vicente vs. Os Belenenses 2:1,1990-1991
2,1,Makpoloka Mangonga,79,Gil Vicente,Gil Vicente vs. Os Belenenses 2:1,1990-1991
1,0,Mané,21,SC Farense,SC Farense vs. GD Chaves 2:0,1990-1991
2,0,Mané,84,SC Farense,SC Farense vs. GD Chaves 2:0,1990-1991
1,0,Rui Águas,24,SL Benfica,SL Benfica vs. CD Nacional 3:0,1990-1991
2,0,Stefan Schwarz,49,SL Benfica,SL Benfica vs. CD Nacional 3:0,1990-1991
3,0,Stefan Schwarz,76,SL Benfica,SL Benfica vs. CD Nacional 3:0,1990-1991
1,0,Jorge Silvério,30,SC Beira-Mar,SC Beira-Mar vs. Estrela Amadora 2:1,1990-1991
1,1,Ricky Owubokiri,57,Estrela Amadora,SC Beira-Mar vs. Estrela Amadora 2:1,1990-1991
2,1,Oliveira,62,SC Beira-Mar,SC Beira-Mar vs. Estrela Amadora 2:1,1990-1991
NA,NA,NA,NA,NA,CD Nacional vs. CS Marítimo 0:0,1990-1991
1,0,Jorge Ferreira,7,Vitória Setúbal,Vitória Setúbal vs. SL Benfica 2:0,1990-1991
2,0,Adelino Nunes,72,Vitória Setúbal,Vitória Setúbal vs. SL Benfica 2:0,1990-1991
0,1,Jorge Silvério,28,SC Beira-Mar,União da Madeira vs. SC Beira-Mar 2:2,1990-1991
0,2,Jorge Silvério,74,SC Beira-Mar,União da Madeira vs. SC Beira-Mar 2:2,1990-1991
1,2,Rogério,80,União da Madeira,União da Madeira vs. SC Beira-Mar 2:2,1990-1991
2,2,Carlos Manuel,82,União da Madeira,União da Madeira vs. SC Beira-Mar 2:2,1990-1991
1,0,Tozé,4,SC Salgueiros,SC Salgueiros vs. SC Farense 1:0,1990-1991
0,1,Fernando Gomes,34,Sporting CP,FC Famalicão vs. Sporting CP 0:1,1990-1991
1,0,Baroti,8,Estrela Amadora,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
1,1,Folha,21,Gil Vicente,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
2,1,Miranda,33,Estrela Amadora,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
2,2,Zé Carlos,50,Gil Vicente,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
3,2,Abel Campos,61,Estrela Amadora,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
4,2,Ricky Owubokiri,74,Estrela Amadora,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
